Company,URL of the article,Good Bad or Neutral
BASF,"BASF aims to raise sales, expects operating profit to ease",Neutral
BASF,DGAP-Adhoc: BASF SE: Lower price forecasts for oil and gas lead to impairments in EBIT of BASF Group in 2015,Bad
BASF,QD Vision Closes New Funding Round Adding Tsing Capital and BASF Venture Capital as Investors,Neutral
BASF,BASF lowers 2015 goals after profit misses estimates,Bad
BASF,UPDATE 2-BASF shares drop after 2015 targets cut on weak China and Brazil,Bad
BASF,BASF cuts outlook on weak commodity prices,Bad
BASF,"Gazprom, BASF finally close asset swap deal",Good
BASF,"Gazprom, BASF finally close asset swap deal",Good
BASF,Germany : BASF creates chemistry for a sustainable future,Good
BASF,"Gazprom, BASF, E.ON, ENGIE, OMV and Shell sign shareholders' agreement on Nord Stream 2 project",Good
BASF,"BASF, Gazprom Renew Abandoned Asset-Swap Plan -- 2nd Update",Good
BASF,BASF and Gazprom revive asset swap agreement,Good
BASF,"BASF, Gazprom go ahead with asset swap after all",Good
BASF,DGAP-Adhoc: BASF SE: BASF and Gazprom agree to complete asset swap,Good
BASF,EARNINGS POLL-BASF Q1 adj. EBIT seen down 5 percent,Bad
BASF,"Petronas Chemicals, BASF to build 2-EHAcid plant in Kuantan",Good
BASF,"DGAP-PVR: BASF SE: Release according to Article 26, Section 1 of the WpHG [the German Securities Trading Act] with the objective of Europe-wide distribution",Neutral
BASF,BASF launches Master Builders Solutions in the Philippines,Good
Suncor Energy,*S&PGR Affirms Suncor Energy Inc. At 'A-',Neutral
Suncor Energy,Suncor Energy reports second quarter 2018 results,Good
Suncor Energy,"CANADA RESEARCH ROUNDUP-Manulife, Profound Medical, Suncor Energy",Good
Suncor Energy,Press Release: Suncor Energy announces Brian MacDonald to join Board of Directors,Good
Suncor Energy,Media Advisory: Suncor Energy to release second quarter 2018 financial results,Neutral
Suncor Energy,Suncor Energy CEO touts Indigenous partnerships for Trans Mountain pipeline; Several First Nations groups have floated the idea of buying an ownership stake in the project after Ottawa bought the existing line for $4.5-billion,Good
Suncor Energy,Press Release: Suncor Energy reports voting results from Annual General Meeting,Neutral
Suncor Energy,Press Release: Suncor Energy closes purchase of additional interest in Syncrude,Good
Suncor Energy,"Suncor Energy increases stake in Syncrude, acquires stake in Fenja Development",Good
Suncor Energy,Faroe Petroleum plc: Sale of 17.5% of Fenja (PL586) to Suncor Energy,Good
Suncor Energy,Press Release: Suncor Energy acquires additional interest in Syncrude and interest in Norway's Fenja field,Good
Suncor Energy,Suncor Energy to release fourth quarter 2017 financial results,Neutral
Suncor Energy,Suncor Energy says driverless trucks will eliminate a net 400 positions,Good
Suncor Energy,Press Release: Suncor Energy closes 2017 with strong performance,Good
Suncor Energy,First Nations bond issue breaks new ground; Deal gives two communities 49% stake in Suncor Energy facility near Fort McMurray,Good
Suncor Energy,Press Release: Suncor Energy confirms first oil production at Hebron project,Good
Suncor Energy,Bank of New York Mellon Corp Reduces Position in Suncor Energy Inc.,Neutral
Suncor Energy,Press Release: Suncor Energy announces 2018 capital program and production outlook,Neutral
Suncor Energy,Press Release: Suncor Energy announces 2018 capital program and production outlook,Neutral
Suncor Energy,Press Release: Suncor Energy's Steve Williams appoints Mark Little as Chief Operating Officer,Neutral
Suncor Energy,Press Release: Suncor Energy and PetroNor announce agreement for equity partnership,Good
Suncor Energy,"Rick George, former Suncor Energy CEO and pioneer of oilsands industry, dies at 67",Neutral
Suncor Energy,"Press Release: Suncor Energy extends condolences on death of former CEO, Rick George",Neutral
Suncor Energy,"Total, Suncor Energy in funding dispute over Fort Hills oilsands project",Bad
Suncor Energy,"UPDATE 1-Suncor Energy reports second-quarter profit, ups capital budget",Good
Suncor Energy,BRIEF-Suncor Energy reports Q2 FFO per share C$0.98,Neutral
Suncor Energy,Press Release: Suncor Energy to release second quarter 2017 financial results,Neutral
Suncor Energy,BRIEF-Suncor Energy reports Q1 net earnings were $1.35 bln,Neutral
Suncor Energy,Press Release: Suncor Energy announces increased return to shareholders and early repayment of US $1.25 billion bond,Good
Suncor Energy,Press Release: Suncor Energy provides update on Syncrude recovery plan,Neutral
Suncor Energy,"Canada : Suncor Energy announces Board chair James W. Simpson retirement, appointment of Michael Wilson as incoming chair",Neutral
Suncor Energy,Canada : Suncor Energy reports fourth quarter 2016 results,Good
Suncor Energy,Press Release: Suncor Energy's Petro-Canada brand redesigns Petro-Points(TM) program,Good
Suncor Energy,"UPDATE 1-Suncor Energy expects higher production, lower spending in 2017",Good
Suncor Energy,Press Release: Suncor Energy announces Michael Creel to join Board of Directors,Neutral
Suncor Energy,Press Release: Suncor Energy announces Michael Creel to join Board of Directors,Neutral
Suncor Energy,*HollyFrontier To Acquire Suncor Energy's Petro-Canada Lubricants Business >HFC,Good
Suncor Energy,Press Release: Suncor Energy sells Petro-Canada Lubricants business for $1.125 billion,Good
Suncor Energy,Suncor Energy CEO Rules out Big Deals -- Market Talk,Neutral
Suncor Energy,Canada's Suncor Energy Swings to Profit,Good
Suncor Energy,BRIEF-Suncor Energy Q3 earnings per share c$0.24,Neutral
Suncor Energy,Press Release: Gulf & Pacific Equities Corp. Announces 20 Year Land Lease Renewal With Suncor Energy Products Partnership at St. Paul Shopping Centre,Good
Suncor Energy,Press Release: Suncor Energy announces $1.0 billion medium term note offering,Neutral
Suncor Energy,Press Release: Suncor Energy and Fort McKay First Nation announce agreement for equity partnership in East Tank Farm Developments,Good
Suncor Energy,Press Release: Suncor Energy closes purchase of additional interest in Syncrude,Good
Suncor Energy,Press Release: Suncor Energy Ventures Holding Corporation Announces Results of Debt Tender Offers,Neutral
Suncor Energy,Press Release: Suncor Energy announces closing of $2.9 billion bought-deal common share financing,Neutral
Suncor Energy,Union asks Suncor Energy to beef up emergency protocols in contract talks; Talks are resuming to renew their collective agreement which expired on May 1,Bad
Suncor Energy,Press Release: Suncor Energy announces restart of RMWB operations,Good
Suncor Energy,Evacuation Order Lifted for Some Canadian Oil-Sands Sites; Move allows Suncor Energy and Syncrude unit to reopen two complexes shut down for more than two weeks because of Alberta wildfires,Good
Suncor Energy,"Evacuation orders lifted for several Fort McMurray work camps; Seven camps, including those attached to the Syncrude Canada Ltd. project and Suncor Energy Inc. base plant, can be reopened, according to the Regional Municipality of Wood Buffalo",Good
Suncor Energy,"Syncrude Canada oil sands operation shut down, staff removed, due to Fort McMurray fire; Syncrude Canada, a joint venture of several energy companies led by Suncor Energy Inc. and Imperial Oil Ltd., produces up to 350,000 barrels a day of light synthetic crude derived from the oil sands",Bad
Suncor Energy,Press Release: Suncor Energy provides operational update,Bad
Suncor Energy,Press Release: Suncor Energy reports voting results from Annual General Meeting,Neutral
Suncor Energy,Suncor Energy CEO says hard to see more major growth projects on the horizon,Neutral
Suncor Energy,"Deal-Hungry Suncor Energy Posts First Quarter Net Profit, Operating Loss",Neutral
Suncor Energy,Press Release: Suncor Energy to acquire additional interest in Syncrude,Good
Suncor Energy,Press Release: Suncor Energy to release first quarter 2016 financial results and hold Annual General Meeting of shareholders,Neutral
Suncor Energy,*Suncor Energy Completes Acquisition Of Canadian Oil Sands >SU.T,Good
Suncor Energy,Press Release: Suncor Energy appoints new member to Board of Directors,Neutral
Suncor Energy,Suncor Energy Posts Loss,Bad
Suncor Energy,Suncor Energy Posts Loss; Canadian oil giant slashes capital spending budget for 2016,Bad
Suncor Energy,Press Release: Suncor Energy to release fourth quarter 2015 financial results,Neutral
Suncor Energy,Suncor Energy seals C$6.6bn deal for Canadian Oil Sands,Good
Suncor Energy,"Press Release: Suncor Energy extends offer for Canadian Oil Sands to Wednesday, January 27",Neutral
Suncor Energy,Press Release: Suncor Energy to host investment community webcast / Q&A today at 7:30 a.m. MT (9:30 a.m. ET) to discuss the value of its offer,Neutral
Suncor Energy,Canadian Oil Sands can stall Suncor Energy's hostile takeover bid for a month,Bad
Suncor Energy,Final arguments delivered in Suncor Energy's hostile bid for Canadian Oil Sands,Neutral
Suncor Energy,Press Release: Suncor Energy posts documents filed with Alberta Securities Commission,Neutral
Suncor Energy,Suncor Energy stock downgraded after announcement on cutting production,Bad
Suncor Energy,Press Release: Suncor Energy closes purchase of additional working interest in Fort Hills oil sands project,Good
Suncor Energy,Canada's Suncor Energy on Hunt for M&A Deals,Neutral
Suncor Energy,UPDATE 6-Suncor Energy launches $4.3 bln hostile bid for Canadian Oil Sands,Good
Suncor Energy,Suncor Energy bids $5bn for Canadian Oil Sands,Good
Suncor Energy,Press Release: Suncor Energy to participate in a panel at the Peters & Co. Limited 2015 Energy Conference,Neutral
Suncor Energy,Press Release: Suncor Energy's 2015 Report on Sustainability,Neutral
Suncor Energy,Suncor Energy trimming capital spending by a further $400 million,Bad
Suncor Energy,"Suncor widens spending cuts on weak oil, hikes dividend; Suncor Energy Inc. cut its budget for the second time this year even as it pledged to dole out more money to shareholders as the company reported a second-quarter profit",Bad
Suncor Energy,Press Release: Suncor Energy to release second quarter 2015 financial results,Bad
Suncor Energy,Press Release: Suncor Energy begins radio frequency pilot at Dover site,Good
Suncor Energy,*TransAlta Announces Restructured Poplar Creek Contract With Suncor Energy And Acquisition Of Two Wind Farms >TA.T,Neutral
Suncor Energy,Press Release: Suncor Energy to participate in a panel at the RBC Capital Markets conference,Neutral
Suncor Energy,Press Release: Suncor Energy shareholders approve all resolutions at Annual General Meeting,Neutral
Suncor Energy,Oilsands giant Suncor Energy posts $341-million net loss in first quarter,Bad
Suncor Energy,"Teck Resources vows to maintain stake in Fort Hills oil sands venture; The project is led by Calgary-based Suncor Energy, which holds a 40.8-per-cent stake, while Teck owns 20 per cent of the venture",Neutral
Suncor Energy,Press Release: Suncor Energy appoints new member to Board of Directors,Neutral
Apple,IPHONE FANS HIT APPLE STORES AS LATEST HANDSETS GO ON SALE,Good
Apple,Fans queue outside Apple Store for latest iPhones,Good
Apple,"Apple iPhone XS, XS Max up for pre-orders: Here are top deals on Jio, Airtel, Flipkart and more",Good
Apple,"Apple iPhone XS, Moto One Power to Realme 2 Pro: Top phones launching in India next week",Good
Apple,"First iPhone XS, iPhone XS Max and Apple Watch Series 4 Models Begin Arriving to Customers in New Zealand",Good
Apple,"Apple penalised 15,000 after phone develops fault",Bad
Apple,"Apple's Cook savors sway in D.C. While publicly a critic of Trump, the CEO lobbies hard",Good
Apple,Apple Overhauls Its iPhone Sales Strategy,Good
Apple,Brown Advisory Inc. Has $333.69 Million Stake in Apple Inc. (AAPL),Neutral
Apple,Apple's iOS 12 update introduces feature to give users a 'trust score' by tracking their calls and emails,Neutral
Apple,Will Apple unveil a new iPad Pro next month? Hidden reference in iOS 12 update all-but confirms upcoming tablet with FaceID facial recognition and edge-to-edge screen design,Good
Apple,"BACKGROUND Apple, Amazon, Starbucks: The EU's major tax-dodging cases",Neutral
Apple,Apple takes on Kanye West in retailing battle on Friday,Neutral
Apple,"Apple Black Friday deals 2018: Best UK iPhone, Mac and watch offers on sale",Good
Apple,Apple's chief executive Cook defends price of new iPhones,Neutral
Apple,Protesters: Rip up Apple store Fed Square plans,Bad
Apple,Apple's bigger iPhones exact a small ransom,Neutral
Apple,Apple Watch now inching toward becoming a medical device,Good
Apple,"Apple iPad Pro 2018 to launch soon: Specifications, features",Good
Apple,Google and Apple battle to take over your CAR: Vehicles running Android Auto and CarPlay will become mainstream this year,Neutral
Apple,Google signs up millions of carmakers to use Android in battle with Apple over in car entertainment systems,Bad
Apple,Ireland recovers 14bn euros in Apple 'back taxes',Bad
Apple,UPDATE 2-Ireland collects disputed Apple taxes in full ahead of appeal,Bad
Apple,"iOS 12 release: The best features of Apple's new software, including Screen Time and Measure",Good
Apple,How to get new iPhone XS and XS Max for the cheapest price: We compare the best deals on latest must-have Apple gadget,Neutral
Apple,Press Release: Insight Launches Apple Offering to Help Enterprises Embrace Employee Choice,Good
Apple,"Apple Avoids U.S. Tariffs on Smartwatches, Earbuds",Good
Apple,Apple's AirPower wireless charger unlikely to launch anytime soon,Bad
Apple,Apple Shares in a Time of Trade War: DealBook's One Thing to Watch Today,Bad
Apple,Why XR may fare better than Apple's other new iPhones,Neutral
Apple,U.S. duties spare Apple gadgets but hit cloud industry; U.S. duties spare Apple gadgets but hit cloud industry,Good
Apple,Can Apple Watch Series 4 become critical for doctors?,Good
Apple,"Apple on hiring spree, no wires attached",Good
Apple,"U.S. raises China tariffs, but spares Apple, Fitbit",Good
Apple,How can Apple justify the sky-high iPhone prices?,Neutral
Apple,"Apple stock slips as analysts say iPhone preorders appear stable or down from last year; One analyst sees weaker-than-expected preorder demand, while another says trends look pretty comparable",Bad
Apple,"Apple rolls-out iOS 12 update to iPhones and iPads worldwide with 40% faster loading time, and Screen Time app to record how many hours you REALLY spend using your device",Good
Apple,"Qualcomm, Apple kick off second trial seeking iPhone import ban",Bad
Apple,iOS 12 release time in UK: Plus all the new Apple iPhone update features to enjoy,Good
Apple,"LIVE MARKETS U.S.-Stocks stumble at start; Apple, Amazon weak",Bad
Apple,"Apple, Google, Dolby in Korea face parliamentary audit",Bad
Apple,Apple offering new AppleCare monthly plans along with theft and loss option,Good
Apple,"Could Trump, China test investor faith in Apple?",Bad
Apple,The Rest of Tech Leans In to Apple's Shadow,Good
Apple,Watch out for iPhone scalpers; Apple fans desperate for the latest model sometimes pay resellers marked-up prices,Neutral
Apple,Here's why Apple is launching iPhone XR one month after iPhone XS,Neutral
Apple,Apple craze cools down in China,Bad
Apple,Samsung Galaxy Note 9 to OnePlus 6: Top Apple iPhone XR alternatives,Neutral
Apple,The Rest of Tech Leans Into Apple's Shadow,Good
Apple,"Apple Watch's new EKG feature has FDA 'clearance' for the wrong people - and could send thousands on wasted trips to the ER, cardiologist warns",Bad
Apple,Apple touts environmental credentials as it releases greener new iPhone Xs,Good
Apple,"Press Release: iPhone Xs, iPhone Xs Max, Apple Watch Series 4 (GPS+Cellular) arrive at TELUS on Friday, September 21",Good
Apple,APPLE CRITICISED FOR MAKING IPHONES TOO BIG FOR WOMEN'S HANDS,Bad
Apple,Apple prices iPhone to the Max,Neutral
Apple,"Apple launches pre-orders for its all-new iPhone XS and XS Max: Most expensive iPhone EVER sells out in under half an hour despite being mocked for its Ã‚Â£1,449 price tag",Good
Apple,Press Release: AT&T Announces Details on New Apple Products on the Nation's Best Network,Good
Apple,Apple's Challenge: Win Over China With Pricey New iPhones > AAPL,Neutral
Apple,Granny Apple - how new watch could save her life,Good
Apple,Apple launch FAQs: All your doubts about new iPhone cleared,Neutral
Apple,Apple's launch of XS Max marks next phase in smartphone wars,Neutral
Apple,Apple unveils dual SIM devices for India,Good
Apple,Apple's Dual SIM is actually a way of life around the world,Good
Apple,Ive 'zealous' about latest Apple Watch,Good
Apple,Apple leads rebound in tech shares; Trade worries ease after China welcomes prospect of new talks with United States,Good
Apple,Apple bows to the Chinese market again with latest iPhones,Good
Apple,Apple's New Pretty Medical Wearable,Good
Apple,"Apple launches new iPhone XS, XS Max, XR & Watch Series 4; devices to be available in India from October 19",Neutral
Apple,Apple announces three new iPhones,Neutral
Apple,Apple draws mainland ire for references to markets in 'Taiwan' and 'China',Bad
Apple,Apple may face sour response,Bad
Apple,"Apple unveils iPhone XS, XS Max, and XR",Neutral
Apple,Apple unveils $2369 iPhoneand a watch oldies will love,Good
Apple,Bigger is better for Apple,Good
Apple,Apple adds flair and style to cost,Good
Apple,Apple hopes older buyers will strap on Watch for health benefits,Good
Apple,All Eyes Are on the Price of Apple's New iPhones,Neutral
Apple,"Apple's mega event: Here's how to hear the keynote, watch the livestream",Neutral
Apple,Apple Watch Series 4: ECG-enabled device that can detect users' fall; 18-hr battery life; priced at $399 onwards,Good
Apple,Apple launches new smartwatch with Apple Watch Series 4,Good
Apple,"Apple Event 2018: Check India timings, live stream options, iPhone launch and more",Neutral
Apple,"Technology; Apple rolls out iPhone XS and XS Max on Sept. 21; Bigger screens, more powerful chips featured",Good
Wells Fargo,Wells Fargo Braces for Lean Years Ahead -- Heard on the Street,Bad
Wells Fargo,Altair Engineering Inc (ALTR) Shares Bought by Wells Fargo & Company MN,Neutral
Wells Fargo,BUSINESS BEAT; Wells Fargo to cut up to 10% of its workforce,Bad
Wells Fargo,"Wells Fargo to cut up to 26,500 jobs within three years",Bad
Wells Fargo,Wells Fargo to cut workforce by up to 10%,Bad
Wells Fargo,Wells Fargo to Cut Jobs Over Next Three Years,Bad
Wells Fargo,"Press Release: As Wells Fargo Transforms to Meet Customer Needs and Improve Operational Excellence, Company to Be More Efficient",Neutral
Wells Fargo,Wells Fargo CEO is Safe: Chair,Neutral
Wells Fargo,*S&PGR Affirms Wells Fargo 'A-/A-2' Rtgs; Outlook Still Stable,Good
Wells Fargo,'Completely false': Wells Fargo denies report it considered dumping its CEO,Neutral
Wells Fargo,Wells Fargo to cut jobs by 10 percent over 3 years,Bad
Wells Fargo,"Wells Fargo to cut up to 26,000 jobs within three years",Bad
Wells Fargo,Wells Fargo chair says Sloan has board's 'unanimous support',Neutral
Wells Fargo,Press Release: Wells Fargo No. 2 Corporate Cash Giver in Chronicle of Philanthropy Rankings,Neutral
Wells Fargo,Wells Fargo Could Remain Stuck in a Rut -- Barrons.com,Bad
Wells Fargo,"Are Wells Fargo, PNC probes a setback for affordable housing?",Bad
Wells Fargo,Commercial clients steer clear of Wells Fargo,Bad
Wells Fargo,"*Fitch: Corrective Action Taken on Wells Fargo Bank, N.A. Bonds",Neutral
Wells Fargo,*S&PGR Affirms Rankings On Wells Fargo Comm Mortgage Servicing,Good
Wells Fargo,Wells Fargo CFO: Mortgage Banking Fee Income Expected to Fall -- Market Talk,Bad
Wells Fargo,Wells Fargo CFO: Consumer Loans Expected to Decline -- Market Talk,Bad
Wells Fargo,"Wells Fargo CFO: Expenses May Fall in 2019, 2020 -- Market Talk",Good
Wells Fargo,'Ad seller': Wells Fargo exec criticizes media coverage of scandals,Bad
Wells Fargo,Wells Fargo is closing North Carolina branches early today for Florence,Bad
Wells Fargo,"Bank of America, Wells Fargo closing branches in path of Florence",Bad
Wells Fargo,Judge blocks U.S. fund's lawsuit against Wells Fargo over 'vol-mageddon',Good
Wells Fargo,Exclusive: U.S. regulators reject Wells Fargo's plan to repay customers - sources,Bad
Wells Fargo,Wells Fargo hit by fraud claims,Bad
Wells Fargo,Press Release: Wells Fargo Real Estate Investment Corporation Declares Dividend on Series A Preferred Stock,Neutral
Wells Fargo,Justice Department Probing Wells Fargo's Wholesale Banking Unit,Bad
Wells Fargo,U.S. probing Wells Fargo's wholesale banking unit: WSJ,Bad
Wells Fargo,*S&PGR Assigns Wells Fargo Finance LLC 'A-' Rtg; Otlk Stbl,Neutral
Wells Fargo,judge oks; $480 million WELLS FARGO SHAREHOLDER SEttlement,Neutral
Wells Fargo,Apartments may join Wells Fargo // Kraus-Anderson proposes plan for downtown Mpls. site; the bank would stay.,Neutral
Wells Fargo,How Bank adds to ex-cop's pile of misery; Crippling mental troubles compounded by Wells Fargo's bid to sell home,Bad
Wells Fargo,Press Release: Brunswick Corporation : Brunswick and Wells Fargo Commercial Distribution FinanceTM Announce Creation of Brunswick Commercial Finance for Canadian Dealers M,Good
Wells Fargo,Discontent Grows for Women at Wells Fargo -- WSJ,Bad
Wells Fargo,Wells Fargo Probes Possible Gender Bias -- Barrons.com,Bad
Wells Fargo,"At Wells Fargo, Discontent Simmers Among Female Executives; Women at bank convene, allege gender bias in wealth division",Bad
Wells Fargo,Press Release: Wells Fargo Multi-Sector Income Fund Announces Change to Portfolio Management Team,Neutral
Wells Fargo,Wells Fargo Fires Bankers Amid Probe of Dinner Receipts That Were Allegedly Doctored; More than a dozen employees have left Wells Fargo during expenses investigation,Bad
Wells Fargo,Wells Fargo Fires Bankers Amid Probe of Dinner Receipts That Were Allegedly Doctored,Bad
Wells Fargo,Press Release: Wells Fargo to Present at the Barclays Global Financial Services Conference,Neutral
Wells Fargo,Press Release: Acadia Healthcare to Present at Baird and Wells Fargo Healthcare Conferences,Neutral
Wells Fargo,*S&PGR Afrms STRONG Master Srvcr Ranking On Wells Fargo Bank,Good
Wells Fargo,*Fitch Assigns Final Ratings to Wells Fargo Commercial Mortgage Trust 2018-C46,Neutral
Wells Fargo,BUSINESS BEAT; Wells Fargo to cut 638 mortgage jobs,Bad
Wells Fargo,Wells Fargo Lays Off More Than 600 in Mortgage Division -- Market Talk,Bad
Wells Fargo,Wells Fargo lays off 638 in mortgage division,Bad
Wells Fargo,"Wells Fargo can upend student refis, but will it?",Neutral
Wells Fargo,Wells Fargo announces layoffs of 106 Charlotte-area workers,Bad
Wells Fargo,AT&T Falls After Wells Fargo Downgrade -- Market Talk,Neutral
Wells Fargo,Press Release: Wells Fargo Confirms Adherence to Federal Laws Regarding Marijuana-Related Activities,Neutral
Wells Fargo,Press Release: Wells Fargo & Company Declares Cash Dividends on Preferred Stock,Neutral
Wells Fargo,New Mexico sues Wells Fargo over unauthorized accounts,Bad
Wells Fargo,Opinion today: Mud sticks to Wells Fargo,Bad
Wells Fargo,WELLS FARGO CLOSING 2 LOCAL BRANCHES,Bad
Wells Fargo,Press Release: Wells Fargo Income Opportunities Fund Adopts Managed Distribution Plan,Neutral
Wells Fargo,Press Release: Wells Fargo Closed-End Funds Declare Monthly and Quarterly Distributions,Neutral
Wells Fargo,Press Release: First Data and Wells Fargo Announce Extension of Joint Venture,Good
Wells Fargo,Press Release: Micah Dortch Appointed Special Receiver in Federal Lawsuit Against Wells Fargo,Neutral
Wells Fargo,Wells Fargo hits back at USAA with countersuit,Neutral
Wells Fargo,Wells Fargo's Reputation Plunges -- Barrons.com,Bad
Wells Fargo,Wells Fargo Risk Executive to Leave Bank,Neutral
Wells Fargo,Wells Fargo Risk Executive to Leave Bank,Neutral
Wells Fargo,Wells Fargo was hit with more scandal. But does anyone care?,Bad
Wells Fargo,Press Release: Wells Fargo Joins Origis Energy USA to Expand Clean Energy Supply for Florida,Good
Wells Fargo,Wells Fargo was hit with more scandal. But does anyone care?,Bad
Wells Fargo,"Week's Best: Foreign Invaders, Wells Fargo, Charlie Johnston",Good
Wells Fargo,"Billionaire Broadcom founder, 59, is arrested in Las Vegas 'with a hotel room full of drugs alongside his girlfriend - the former wife of a Wells Fargo heir - who was passed out with a balloon in her mouth'",Bad
Wells Fargo,"After Wells Fargo error, frustrated customers wonder: Did it cost me my home?",Bad
Wells Fargo,Senate Dem demands Wells Fargo explain error that led to 400 foreclosures,Bad
Wells Fargo,Wells Fargo Tax Credits Are Under Scrutiny -- WSJ,Bad
Wells Fargo,EXCHANGE --- Banking & Finance News: Wells Fargo Tax Credits Are Under Scrutiny,Bad
Wells Fargo,"Wells Fargo faces tax credit probes, new problems with mortgage borrowers",Bad
Wells Fargo,"Press Release: Chico's FAS, Inc. Completes $200 Million Credit Facility with Wells Fargo",Good
Wells Fargo,Wells Fargo to pay $2 billion to settle case; Decision closes a U.S. probe into bank's sale of faulty mortgages that contributed to financial meltdown.,Bad
Wells Fargo,Wells Fargo CEO points to sweeping changes; Three-decade veteran of the company is working to transform its reputation after a run of scandals,Neutral
Wells Fargo,"Wells Fargo Reaches $2.09 Billion Settlement Over Mortgage-Backed Securities; Wells Fargo, Justice Department were negotiating deal for several months",Bad
Wells Fargo,Wells Fargo Swallows a $2 Billion Fine -- Barrons.com,Bad
Wells Fargo,Wells Fargo to pay $2bn-plus over pre-crisis mortgages,Bad
Wells Fargo,*Popular Completes Acquisition Of Wells Fargo's Auto Finance Business In Puerto Rico >BPOP,Neutral
Wells Fargo,Wells Fargo finds efficiency target elusive as revenue slips,Bad
Wells Fargo,Wells Fargo's $2B settlement may mark end of crisis-era RMBS woes,Neutral
Wells Fargo,"At Wells Fargo Wealth, Goals Triggered Trouble",Bad
Wells Fargo,A black woman says Wells Fargo didn't want to cash her check. She's suing for discrimination.,Bad
Wells Fargo,Press Release: Wells Fargo Closed-End Funds Declare Monthly Distributions,Neutral
Wells Fargo,Wells Fargo Names New Head of Home-Lending Servicing -- Market Talk,Neutral
Wells Fargo,Wells Fargo Explores Sale of Real-Estate Broker Eastdil; Bank bought Eastdil in 1999 in an effort to bolster its commercial real-estate-lending business,Neutral
Wells Fargo,Wells Fargo: Permian oil pipeline constraints may last into 2020,Neutral
Wells Fargo,Massive Wells Fargo Refunds Under Way -- Barrons.com,Bad
Wells Fargo,"Wells Fargo to give away $400M // The annual total is a big jump, comes amid tough PR times for the bank.",Bad
Wells Fargo,Wells Fargo: far gone,Bad
Wells Fargo,Wells Fargo profits drop on fake account scandal fallout,Bad
Citigroup,Press Release: Citigroup Announces Redemption of Series C Preferred Stock,Neutral
Citigroup,Goldman Sachs passes Citigroup in investment bank rankings,Bad
Citigroup,Citigroup hires three software investment bankers,Good
Citigroup,Citigroup late in the game to merge key divisions,Bad
Citigroup,Banking & Finance: Citigroup CFO Plans To Retire March 1,Neutral
Citigroup,Citigroup Stands to Win From Mexico Trade Deal -- Barrons.com,Good
Citigroup,*S&PGR: Citigroup Subsidiary CGME Rated 'A+/A-1';Outlook Stable,Neutral
Citigroup,Press Release: Citigroup to Pay More Than $10 Million for Books and Records Violations and Inadequate Controls,Bad
Citigroup,Banking & Finance: Citigroup Global Card Chief Jud Linville to Leave Bank,Neutral
Citigroup,Citigroup Shuffles Consumer Leadership; Citigroup is making changes to its consumer-banking leadership in a bid to deliver a more seamless approach to customers.,Good
Citigroup,How Citigroup Escaped Financial Disaster in 2008,Good
Citigroup,PRESS RELEASE: Citigroup Global Markets Limited: Exercise of Greenshoe Option - AKASOL AG,Neutral
Citigroup,PRESS RELEASE: Citigroup Global Markets Limited: Exercise of Greenshoe Option - AKASOL AG,Neutral
Citigroup,Citigroup retains 9pct forecast for July GGR,Good
Citigroup,Press Release: Fitch: Citigroup's Results in Line with Plan,Neutral
Citigroup,Citigroup profits boosted by tax cuts and consumer banking,Good
Citigroup,Citigroup's Results: What to Watch For,Neutral
Citigroup,Citigroup to refund $335 million to credit card customers,Bad
Citigroup,"Stocks to Watch: Nike, 21st Century Fox, Goldman Sachs, Morgan Stanley, Citigroup, Convergys",Good
Citigroup,Citigroup Names Former Pimco President Jay Jacobs to Board >C,Neutral
Citigroup,Citigroup Poaches BAML Banker as New Co-Head for Equity Capital Markets in EMEA,Neutral
Citigroup,Morning Movers: Disney Jumps Despite Supersized Bid for Fox; Citigroup Rallies -- Barron's Blog,Good
Citigroup,PRESS RELEASE: Citigroup Global Markets Limited: Pre Stabilization Notice - AKASOL,Neutral
Citigroup,PRESS RELEASE: Citigroup Global Markets Limited: Pre Stabilization Notice - AKASOL,Neutral
Citigroup,US BANK CITIGROUP RENAMES FRANKFURT OFFICE AS POST-BREXIT PLANS TAKE HOLD,Neutral
Citigroup,Citigroup hired to shift PTSB mortgages,Good
Citigroup,Citigroup to pay $100M to settle rate manipulation charges,Bad
Citigroup,Citigroup to pay $100 million to settle U.S. Libor rigging probe,Bad
Citigroup,"Press Release: Akoustis Technologies, Inc. to Present at the Citigroup 7th Annual Private Company Growth Conference on June 21, 2018",Neutral
Citigroup,Stark warning from Citigroup over automation of investment bank jobs,Neutral
Citigroup,"ANZ, Citigroup and Deutsche face threat of cartel charges",Bad
Citigroup,"ANZ, Deutsche and Citigroup face criminal cartel charges",Bad
Citigroup,Factory Mutual Insurance Company Decreased Its Stake in Citigroup INC (C),Neutral
Citigroup,Citigroup increases pay package of chief by nearly 50%,Neutral
Citigroup,Citigroup reports first annual loss since 2009 on $22bn charge,Bad
Citigroup,Press Release: Citigroup Finance Canada ULC (formerly Citigroup Finance Canada Inc.) Completes Name Change and Continuance,Neutral
Citigroup,Citigroup invests in software company that monitors staff,Good
Citigroup,Citigroup relies on cost cuts and Latin America for gains,Good
Citigroup,Citigroup Taps Second UBS Banker This Week; Sean Weissenberger succeeds Martin Bastian as head of Citigroup's chemicals coverage for EMEA,Neutral
Citigroup,Citigroup beats forecasts as revenues rise to $17.9bn,Good
